segment,customers,avg_recency,avg_frequency,avg_monetary,total_revenue
At Risk,22967,445.73771062829275,1.0495928941524797,178.13385074236948,4091200.15
Loyal Customers,27985,194.16187243165982,1.0335536894765052,138.75376308736824,3883024.06
New Customers,15449,141.09845297430255,1.0,170.67660172179427,2636782.82
Lost Customers,15463,446.73562698053416,1.0,169.67313199249824,2623655.64
Champions,6705,141.26711409395972,1.1889634601043997,330.4786219239374,2215859.16
Need Attention,7527,271.0997741464063,1.0,158.5239099242726,1193209.47
