seller_id,revenue,orders,avg_review,late_rate
53243585a1d6dc2643021fd1853d8905,258882.28,358,4.052631578947368,0.036613272311212815
4869f7a5dfa277a7dca6462dcf3b52b2,258625.52,1132,4.079258010118044,0.11888701517706576
7c67e1448b00f6e969d365cea6b010ab,254387.7,982,3.373889268626111,0.08885850991114148
4a3ca9315b744ce9f8e9374361493884,253535.64,1806,3.754060324825986,0.10023201856148492
fa1c13f2614d7b5c4749cbc52fecda94,214454.82,585,4.315270935960591,0.09688013136288999
da8622b14eb17ae2831f4ac5b9dab84a,198621.24,1314,4.056558363417569,0.06738868832731648
7e93a43ef30c4f03f38b393420bc753a,189475.9,336,4.198863636363637,0.05113636363636364
1025f0e2d44d7041d6cf58b6550e0bfa,178696.05,915,3.8307379823967502,0.07853757616790792
7a67c85e85bb2ce8582c35f2203ad736,172887.23,1160,4.195983935742972,0.05140562248995984
955fee9216a65b617aa5c0531780ce60,163275.71,1287,4.020261437908497,0.06928104575163399
6560211a19b47992c3666cc44a7e94c0,158284.8,1854,3.8746478873239436,0.057746478873239436
1f50f920176fa81dab994f9023523100,149362.71,1404,3.965790778383738,0.09221616261774913
46dc3b2cc0980fb8ec44634e21d2718e,144517.15,521,4.1234347048300535,0.055456171735241505
a1043bafd471dff536d0c462352beb48,140627.48,718,4.13490099009901,0.04826732673267327
cc419e0650a3c5ba77189a1882b7556a,138160.32,1706,4.033808769149498,0.05282620179609086
5dceca129747e92ff8ef7a997dc4f8ca,134928.9,325,3.9315068493150687,0.0684931506849315
620c87c171fb2a6dd6e8bb4dec959fc6,134161.86,740,4.150421179302046,0.08904933814681107
7d13fca15225358621be4086e1eb0964,130732.15000000001,565,3.971571906354515,0.11371237458193979
3d871de0142ce09b7081e2b9d1733cb1,122982.56,1080,4.076348547717842,0.056431535269709544
edb1ef5e36e0c8cd84eb3c9b003e486d,85259.78,166,4.427777777777778,0.06666666666666667
cca3071e3e9bb7d12640c9fbe2301306,84730.39,712,3.740576496674058,0.04767184035476718
ccc4bbb5f32a6ab2b7066a4130f114e3,81181.37999999999,187,4.269035532994923,0.06598984771573604
8581055ce74af1daba164fdbd55a40de,78130.32,387,4.22707423580786,0.08296943231441048
f7ba60f8c3f99e7ee4042fdef03b70c4,78020.09,219,4.2073170731707314,0.15040650406504066
fe2032dab1a61af8794248c8196565c9,72091.19,294,4.314102564102564,0.08653846153846154
7ddcbb64b5bc1ef36ca8c151f6ec77df,68834.43000000001,334,3.8471849865951744,0.07506702412868632
de722cd6dad950a92b7d4f82673f8833,66281.16,339,4.134715025906735,0.03626943005181347
f8db351d8c4c4c22c6835c19a46f01b0,65469.73,667,4.205766710353866,0.05504587155963303
37be5a7c751166fbc5f8ccba4119e043,65103.9,272,4.2087542087542085,0.026936026936026935
522620dcb18a6b31cd7bdf73665113a9,64211.64,174,3.771276595744681,0.0851063829787234
218d46b86c1881d022bce9c68a7d4b15,64036.81,388,4.114678899082569,0.08486238532110092
25c5c91f63607446a97b143d2d535d31,63361.12,158,3.697841726618705,0.05755395683453238
17e34d8224d27a541263c4c64b11a56b,63302.12,255,4.105072463768116,0.07608695652173914
04308b1ee57b6625f47df1d56f00eedf,63184.99,94,3.882978723404255,0.10638297872340426
b2ba3715d723d245138f291a6fe42594,61431.3,337,4.087301587301587,0.07407407407407407
f5a590cf36251cf1162ea35bef76fe84,60327.92,117,4.248,0.072
17f51e7198701186712e53a39c564617,59994.25,56,4.365079365079365,0.07936507936507936
ceaec5548eefc6e23e6607c5435102e7,59486.61,203,4.0754716981132075,0.05660377358490566
